#Table1
objID,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass
1237661055282250828,50.9551610667638,40.7959226300874,15.9026,2.850698,3.057127,1.530478,2.503156,0.9726782,1.526649,1.39962,1319485088858128,DEBLEND_DEGENERATE PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY MOVED BINNED1 INTERP CHILD ,1874627243112687616,5.173667E-05,8.358315E-06,0,STAR,M1
1237660978508988638,51.3738578890984,41.2739034606811,17.3607,2.555712,2.030113,1.251926,1.693022,0.4410954,0.7781868,1.998809,35219000393744,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP CHILD ,1874629991891757056,-5.584603E-05,8.727062E-06,0,STAR,K7
1237661059574793432,51.188497771739,40.9522278460891,19.10466,2.748579,2.572151,1.536354,2.287386,0.7510319,1.035797,0.9914612,263917418971152,PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER BAD_MOVING_FIT BINNED1 INTERP CHILD ,1874633840182454272,-2.543974E-05,9.294237E-06,0,STAR,K5
1237661082125796443,49.8622559727579,40.0664944813347,17.125,2.551435,3.557374,1.572657,2.838091,1.265434,1.984717,1.040957,35294162190352,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT DEBLENDED_AS_MOVING MOVED BINNED1 CHILD ,1874657479682451456,3.534396E-05,9.373553E-06,0,STAR,M4
1237661083199275743,49.7993394162836,41.1325137671338,16.70784,1.871563,2.182531,1.453463,1.896994,0.443531,0.7290688,4.052474,35253361184784,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1874676446258030592,0.04813373,1.210087E-05,0,GALAXY,
1237661121314423098,49.5692130114044,40.338658188446,17.45795,2.852011,2.519482,1.514406,2.105238,0.5908318,1.005075,5.835393,246359593193816,PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY BINNED1 NOTCHECKED INTERP COSMIC_RAY NOPETRO NODEBLEND CHILD BLENDED ,1874678920159193088,0.1915591,3.322302E-05,0,GALAXY,
1237661121314357344,49.325120442905,40.5449368250328,18.02714,3.941219,2.607771,1.632032,2.225252,0.5932198,0.9757385,3.079412,35219002233108,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED NOTCHECKED SATURATED INTERP COSMIC_RAY NOPETRO CHILD EDGE ,1874690739909191680,0.1353004,2.796853E-05,0,GALAXY,
1237661082662404399,49.3758046018718,40.7310835648968,18.41571,2.428968,2.297092,1.383581,1.958189,0.5746078,0.9135113,1.247712,35253361184784,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1874693488688261120,3.84129E-05,8.774301E-06,0,STAR,K7
1237670458047922489,48.8476326579619,40.806746132156,18.22365,2.733606,2.806583,1.549255,2.33849,0.7892342,1.257328,2.156142,105622137864208,DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY BINNED1 DEBLENDED_AS_PSF INTERP CHILD ,1874702009903376384,-7.994251E-05,9.958286E-06,0,STAR,M0
1237661121850967223,49.0350040263991,41.1270195928665,17.07481,2.581127,2.935519,1.541218,2.39805,0.8568325,1.394301,2.204707,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874706407949887488,3.422313E-05,7.664688E-06,0,STAR,M1
1237661059573941386,48.8623262194927,42.0854073670253,17.88108,2.854763,2.94626,1.51586,2.41514,0.8992805,1.430401,1.246938,35253361184784,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1874730322327791616,-0.0002122073,9.307118E-06,0,STAR,M1
1237661059574072371,49.2704224083103,41.8801243695276,17.53646,2.797422,2.757013,1.487082,2.275837,0.7887554,1.269932,1.222599,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1874739668176627712,2.560834E-05,7.899024E-06,0,STAR,M0
1237661059574071869,49.2760306599565,41.8273941676392,17.52375,2.247715,2.353498,1.412634,1.926338,0.5137043,0.9408646,3.316804,193583034535952,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874742142077790208,0.1742087,2.121099E-05,0,GALAXY,
1237661059574269035,49.7701555813497,41.7192215795183,17.38575,2.524347,2.306242,1.378201,1.951666,0.5734653,0.9280415,1.151198,68987912192,STATIONARY BINNED1 ,1874758909630113792,-0.0001662838,8.008391E-06,0,STAR,K7
1237661056355599831,50.6769649197897,41.975853538663,18.52508,2.634863,2.51321,1.616327,2.106291,0.4899635,0.896883,2.566889,263953926193168,PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY MOVED BINNED1 INTERP CHILD ,1874772378647554048,-0.0001006268,8.58302E-06,0,STAR,K5
1237661056892338380,50.6342563770783,42.5874176307944,17.81889,2.281082,2.195616,1.250727,1.767334,0.5166073,0.9448891,2.018661,193583034535952,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874778975717320704,0.1130809,2.36167E-05,0,GALAXY,
1237661056892404774,50.7866731556862,42.4578661138709,17.98614,2.768423,3.361769,1.637381,2.745378,1.107998,1.724388,1.213454,68987912192,STATIONARY BINNED1 ,1874781724496390144,0.0001646085,9.889195E-06,0,STAR,M2
1237661056355665148,50.8314480952228,41.8914999051289,17.8743,2.86882,3.223539,1.649103,2.634937,0.9858341,1.574436,1.097414,35259802451984,DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 CHILD ,1874785297909180416,0.0001962722,8.247331E-06,0,STAR,M1
1237661056892470240,50.8899282051463,42.3187837469614,17.10106,2.102016,2.193226,1.234228,1.787849,0.5536213,0.9589977,4.502816,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874792994490574848,0.1057407,2.145841E-05,0,GALAXY,
1237661056355860661,51.2066505225869,41.6440675521102,16.76617,2.709131,2.356121,1.324669,1.929039,0.6043701,1.031452,6.812673,193583034532112,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP NOPETRO CHILD ,1874797392537085952,0.1347685,1.606314E-05,0,GALAXY,
1237661056355927080,51.4467562174237,41.5952211551287,17.29776,2.58865,2.211695,1.262512,1.844515,0.5820026,0.9491825,1.089259,35289867223056,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT MOVED BINNED1 CHILD ,1874798217170806784,-6.207391E-05,7.964266E-06,0,STAR,K7
1237661056355861928,51.3236755063676,41.6053236421502,16.34688,2.706278,2.191114,1.345469,1.896015,0.5505466,0.8456459,1.02992,35259803500560,DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 SUBTRACTED CHILD ,1874799316682434560,-2.036079E-05,8.703631E-06,0,STAR,K7
1237661055819186305,51.3209678532488,40.976944644575,17.33672,5.133064,2.158998,1.331875,1.842453,0.5105782,0.8271236,1.162808,72233550528516116,MAYBE_CR PSF_FLUX_INTERP DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED NOTCHECKED SATURATED INTERP COSMIC_RAY CHILD EDGE ,1875755067416537088,-0.0001668287,8.636709E-06,0,STAR,K7
