name,objID,ra,dec,type,u_g,modelMag_r,g_z,petroRad_r
PCC-4755,1.23766E+18,49.91541133,41.23017289,GALAXY,1.110455,19.58429,1.052357,2.190548
PCC-4771,1.23766E+18,49.91748777,41.32919913,GALAXY,2.083092,14.62969,1.878002,6.052194
PCC-4867,1.23767E+18,49.93169902,41.71313334,GALAXY,1.463562,22.06069,0.6258564,1.337922
PCC-4872,1.23766E+18,49.9321852,41.64828166,GALAXY,-4.000988,19.20599,6.521801,3.480688
PCC-4876,1.23766E+18,49.93257219,41.45698198,GALAXY,2.148634,15.13689,1.923657,6.452093
PCC-4900,1.23766E+18,49.93596226,41.44646214,GALAXY,1.951349,15.5348,1.813143,6.00727
PCC-4910,1.23767E+18,49.93657548,41.76904467,STAR,1.262079,18.66884,0.7376442,1.323857
PCC-4912,1.23766E+18,49.93675513,41.39868658,GALAXY,2.371679,17.1254,2.041801,18.01605
PCC-4932,1.23766E+18,49.93864562,41.25444496,GALAXY,1.083651,18.40745,0.7735271,2.180196
PCC-4969,1.23766E+18,49.94365407,41.37851381,GALAXY,1.393999,18.94984,0.07774925,3.120096
PCC-4981,1.23766E+18,49.9451606,41.37857462,STAR,3.597086,18.7346,3.920328,2.83969
PCC-5087,1.23766E+18,49.95639314,41.31382628,GALAXY,1.063026,20.17738,1.449718,1.872197
PCC-5095,1.23766E+18,49.95733083,41.32978273,GALAXY,2.309149,18.29996,1.557718,6.708331
PCC-5096,1.23766E+18,49.95731123,41.66903575,GALAXY,2.598799,19.58217,0.4351616,6.567333
PCC-5137,1.23766E+18,49.9601524,41.30825586,STAR,2.099339,15.80084,1.324567,2.202123
PCC-5147,1.23766E+18,49.96553994,41.39225861,GALAXY,1.302105,19.37686,1.511499,3.857142
PCC-5156,1.23766E+18,49.96700418,41.25983463,GALAXY,1.974316,18.7198,1.445345,3.942765
PCC-5157,1.23766E+18,49.96718677,41.6480902,GALAXY,7.086775,19.86358,1.221334,4.643035
PCC-5169,1.23766E+18,49.97050603,41.60878551,GALAXY,1.906456,15.59959,1.674442,12.8319
PCC-5196,1.23766E+18,49.97388902,41.30540738,STAR,-0.2155323,22.86876,3.937397,0.9085665
PCC-5240,1.23766E+18,49.98141356,41.42015895,GALAXY,2.256126,18.69531,2.309149,1.785305
PCC-5257,1.23766E+18,49.98336591,41.45526067,GALAXY,1.55584,18.84386,1.950048,3.567956
PCC-5265,1.23766E+18,49.98414994,41.21384677,STAR,2.33799,18.34062,1.376968,1.089149
PCC-5271,1.23766E+18,49.98496608,41.33185832,GALAXY,1.940145,19.01034,2.032547,3.20494
PCC-5358,1.23767E+18,49.99472522,41.75003413,GALAXY,6.157221,17.53399,1.576391,8.789475
PCC-5374,1.23766E+18,49.99619966,41.30936254,STAR,1.041622,22.91631,1.991064,1.055185
PCC-5387,1.23766E+18,49.99848597,41.38560616,GALAXY,2.33016,18.58372,2.217403,5.380006
PCC-5408,1.23766E+18,50.00180788,41.68056072,STAR,1.325253,18.41516,0.9451618,0.9528065
PCC-5417,1.23766E+18,50.00273253,41.33836871,GALAXY,2.246117,18.87916,2.017632,2.361201
PCC-5423,1.23766E+18,50.00396431,41.34095693,GALAXY,2.224802,17.69603,2.140968,4.11813
PCC-5428,1.23766E+18,50.00504374,41.65570964,GALAXY,1.867859,17.75774,1.996674,5.495605
